id,name,artists,album,danceability,energy,valence,tempo,duration_ms,popularity,explicit,key,mode,time_signature,loudness,speechiness,acousticness,instrumentalness,liveness
6ie2Bw3xLj2JcGowOlcMhb,Green Light,Lorde,Melodrama,0.594,0.721,0.253,128.942,234653,70,False,2,1,4,-7.812,0.0957,0.0209,8.55e-06,0.0879
3x3Hg4vpObiinlS8aOqMqE,Backbeat,Dagny,Backbeat,0.606,0.881,0.685,139.944,225733,0,False,7,0,4,-4.825,0.0636,0.00712,0.0246,0.151
41IShViF79gmulEkIHAjcb,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,"Santana, Michelle Branch",Shaman,0.59,0.929,0.674,119.818,254467,61,False,2,1,4,-3.236,0.0478,0.0714,0.000153,0.0598
7bt0EnhjElN4bw3K1KwIkU,Playing Games,Anna of the North,Dream Girl,0.557,0.618,0.432,153.976,203707,28,False,1,1,4,-10.459,0.0464,0.374,0.137,0.156
6De0lHrwBfPfrhorm9q1Xl,Me Rehúso,Danny Ocean,Me Rehúso,0.744,0.804,0.426,104.823,205715,72,False,1,1,4,-6.327,0.0677,0.0231,0,0.0494
45S5WTQEGOB1VHr1Q4FuPl,Golden,Harry Styles,Fine Line,0.448,0.838,0.254,139.863,208907,72,False,4,0,4,-5.257,0.0557,0.21,0.000131,0.131
6yOIdK2nKErlhyo5u7y81B,Dreamers,Savoir Adore,Our Nature,0.603,0.892,0.656,102.516,249261,0,False,3,1,4,-6.052,0.0319,0.0811,0.000179,0.0873
51pshtuYkgUQnt5huMPbKL,The Spins,Mac Miller,K.I.D.S.,0.794,0.766,0.55,127.007,195873,6,True,9,0,4,-3.894,0.0377,0.0135,0,0.0785
7uu7UnlZhQlPhGf0SAYBLV,Forever - Separate But Together,CHVRCHES,Forever (Separate But Together),0.684,0.696,0.849,149.933,221159,0,False,2,0,4,-3.416,0.0428,0.0498,1.17e-06,0.0764
6Kkr5KdzKI9gLgQne9VqKA,Bye Bye Bye,School Of Seven Bells,Disconnect from Desire,0.545,0.93,0.294,115.975,255067,0,False,8,1,4,-5.452,0.0407,0.02,9.55e-05,0.182
2bYTSTwiAPXDj322o1wKu2,I Want To Be With You,chloe moriondo,I Want To Be With You,0.743,0.443,0.37,119.984,179573,34,True,4,1,4,-6.968,0.0382,0.0225,6.76e-06,0.099
